State,District,Crop,historical_records
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Sweet potato,13
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Tapioca,12
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Turmeric,11
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Urad,10
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,other oilseeds,3
Andaman and Nicobar Island,SOUTH ANDAMANS,Arecanut,15
Andaman and Nicobar Island,SOUTH ANDAMANS,Arhar/Tur,4
Andaman and Nicobar Island,SOUTH ANDAMANS,Banana,15
Andaman and Nicobar Island,SOUTH ANDAMANS,Black pepper,15
Andaman and Nicobar Island,SOUTH ANDAMANS,Cashewnut,15
Andaman and Nicobar Island,SOUTH ANDAMANS,Coconut,15
Andaman and Nicobar Island,SOUTH ANDAMANS,Cowpea(Lobia),5
Andaman and Nicobar Island,SOUTH ANDAMANS,Dry chillies,15
Andaman and Nicobar Island,SOUTH ANDAMANS,Ginger,15
Andaman and Nicobar Island,SOUTH ANDAMANS,Groundnut,6
Andaman and Nicobar Island,SOUTH ANDAMANS,Maize,10
Andaman and Nicobar Island,SOUTH ANDAMANS,Moong(Green Gram),9
Andaman and Nicobar Island,SOUTH ANDAMANS,Oilseeds total,4
Andaman and Nicobar Island,SOUTH ANDAMANS,Rapeseed &Mustard,4
Andaman and Nicobar Island,SOUTH ANDAMANS,Rice,15
Andaman and Nicobar Island,SOUTH ANDAMANS,Sesamum,1
Andaman and Nicobar Island,SOUTH ANDAMANS,Sugarcane,15
Andaman and Nicobar Island,SOUTH ANDAMANS,Sunflower,1
Andaman and Nicobar Island,SOUTH ANDAMANS,Sweet potato,12
Andaman and Nicobar Island,SOUTH ANDAMANS,Tapioca,12
Andaman and Nicobar Island,SOUTH ANDAMANS,Turmeric,12
Andaman and Nicobar Island,SOUTH ANDAMANS,Urad,9
Andaman and Nicobar Island,SOUTH ANDAMANS,other oilseeds,5
Andhra Pradesh,ADILABAD,Arhar/Tur,26
Andhra Pradesh,ADILABAD,Bajra,14
Andhra Pradesh,ADILABAD,Banana,8
Andhra Pradesh,ADILABAD,Cashewnut,9
Andhra Pradesh,ADILABAD,Castor seed,14
Andhra Pradesh,ADILABAD,Coriander,11
Andhra Pradesh,ADILABAD,Cotton(lint),16
Andhra Pradesh,ADILABAD,Cowpea(Lobia),2
Andhra Pradesh,ADILABAD,Dry chillies,29
Andhra Pradesh,ADILABAD,Garlic,2
Andhra Pradesh,ADILABAD,Gram,18
Andhra Pradesh,ADILABAD,Groundnut,28
Andhra Pradesh,ADILABAD,Horse-gram,20
Andhra Pradesh,ADILABAD,Jowar,32
Andhra Pradesh,ADILABAD,Linseed,10
Andhra Pradesh,ADILABAD,Maize,32
Andhra Pradesh,ADILABAD,Masoor,2
Andhra Pradesh,ADILABAD,Mesta,2
Andhra Pradesh,ADILABAD,Moong(Green Gram),32
Andhra Pradesh,ADILABAD,Onion,16
Andhra Pradesh,ADILABAD,Other  Rabi pulses,12
Andhra Pradesh,ADILABAD,Other Kharif pulses,12
Andhra Pradesh,ADILABAD,Potato,3
Andhra Pradesh,ADILABAD,Ragi,2
Andhra Pradesh,ADILABAD,Rapeseed &Mustard,5
Andhra Pradesh,ADILABAD,Rice,32
Andhra Pradesh,ADILABAD,Safflower,11
Andhra Pradesh,ADILABAD,Sesamum,30
Andhra Pradesh,ADILABAD,Small millets,3
Andhra Pradesh,ADILABAD,Soyabean,9
Andhra Pradesh,ADILABAD,Sugarcane,12
Andhra Pradesh,ADILABAD,Sunflower,17
Andhra Pradesh,ADILABAD,Sweet potato,7
Andhra Pradesh,ADILABAD,Tobacco,22
Andhra Pradesh,ADILABAD,Urad,31
Andhra Pradesh,ADILABAD,Wheat,16
Andhra Pradesh,ADILABAD,other oilseeds,1
Andhra Pradesh,ANANTAPUR,Arecanut,18
Andhra Pradesh,ANANTAPUR,Arhar/Tur,27
Andhra Pradesh,ANANTAPUR,Bajra,42
Andhra Pradesh,ANANTAPUR,Banana,18
Andhra Pradesh,ANANTAPUR,Black pepper,1
Andhra Pradesh,ANANTAPUR,Cashewnut,5
Andhra Pradesh,ANANTAPUR,Castor seed,30
Andhra Pradesh,ANANTAPUR,Coconut,19
Andhra Pradesh,ANANTAPUR,Coriander,23
Andhra Pradesh,ANANTAPUR,Cotton(lint),30
Andhra Pradesh,ANANTAPUR,Cowpea(Lobia),15
Andhra Pradesh,ANANTAPUR,Dry chillies,40
Andhra Pradesh,ANANTAPUR,Gram,25
Andhra Pradesh,ANANTAPUR,Groundnut,46
Andhra Pradesh,ANANTAPUR,Horse-gram,44
Andhra Pradesh,ANANTAPUR,Jowar,46
Andhra Pradesh,ANANTAPUR,Linseed,12
Andhra Pradesh,ANANTAPUR,Maize,46
Andhra Pradesh,ANANTAPUR,Masoor,2
Andhra Pradesh,ANANTAPUR,Mesta,3
Andhra Pradesh,ANANTAPUR,Moong(Green Gram),38
Andhra Pradesh,ANANTAPUR,Oilseeds total,9
Andhra Pradesh,ANANTAPUR,Onion,39
Andhra Pradesh,ANANTAPUR,Other  Rabi pulses,5
Andhra Pradesh,ANANTAPUR,Other Kharif pulses,16
Andhra Pradesh,ANANTAPUR,Potato,15
Andhra Pradesh,ANANTAPUR,Ragi,45
Andhra Pradesh,ANANTAPUR,Rice,46
Andhra Pradesh,ANANTAPUR,Safflower,20
Andhra Pradesh,ANANTAPUR,Sesamum,7
Andhra Pradesh,ANANTAPUR,Small millets,31
Andhra Pradesh,ANANTAPUR,Soyabean,17
Andhra Pradesh,ANANTAPUR,Sugarcane,21
Andhra Pradesh,ANANTAPUR,Sunflower,34
Andhra Pradesh,ANANTAPUR,Sweet potato,16
Andhra Pradesh,ANANTAPUR,Tobacco,37
Andhra Pradesh,ANANTAPUR,Urad,33
Andhra Pradesh,ANANTAPUR,Wheat,18
Andhra Pradesh,ANANTAPUR,other oilseeds,7
Andhra Pradesh,CHITTOOR,Arhar/Tur,29
Andhra Pradesh,CHITTOOR,Bajra,40
Andhra Pradesh,CHITTOOR,Banana,18
Andhra Pradesh,CHITTOOR,Cashewnut,19
Andhra Pradesh,CHITTOOR,Castor seed,20
Andhra Pradesh,CHITTOOR,Coconut,19
Andhra Pradesh,CHITTOOR,Coriander,22
Andhra Pradesh,CHITTOOR,Cotton(lint),23
Andhra Pradesh,CHITTOOR,Cowpea(Lobia),17
Andhra Pradesh,CHITTOOR,Dry chillies,38
Andhra Pradesh,CHITTOOR,Gram,14
Andhra Pradesh,CHITTOOR,Groundnut,46
Andhra Pradesh,CHITTOOR,Horse-gram,46
Andhra Pradesh,CHITTOOR,Jowar,32
Andhra Pradesh,CHITTOOR,Linseed,11
Andhra Pradesh,CHITTOOR,Maize,45
Andhra Pradesh,CHITTOOR,Masoor,1
Andhra Pradesh,CHITTOOR,Mesta,8
Andhra Pradesh,CHITTOOR,Moong(Green Gram),40
Andhra Pradesh,CHITTOOR,Oilseeds total,9
Andhra Pradesh,CHITTOOR,Onion,37
Andhra Pradesh,CHITTOOR,Other  Rabi pulses,13
Andhra Pradesh,CHITTOOR,Other Kharif pulses,21
Andhra Pradesh,CHITTOOR,Potato,27
Andhra Pradesh,CHITTOOR,Ragi,46
Andhra Pradesh,CHITTOOR,Rapeseed &Mustard,2
Andhra Pradesh,CHITTOOR,Rice,46
Andhra Pradesh,CHITTOOR,Sesamum,41
Andhra Pradesh,CHITTOOR,Small millets,20
Andhra Pradesh,CHITTOOR,Soyabean,2
Andhra Pradesh,CHITTOOR,Sugarcane,23
Andhra Pradesh,CHITTOOR,Sunflower,32
Andhra Pradesh,CHITTOOR,Sweet potato,27
Andhra Pradesh,CHITTOOR,Tapioca,7
Andhra Pradesh,CHITTOOR,Tobacco,35
Andhra Pradesh,CHITTOOR,Urad,40
Andhra Pradesh,CHITTOOR,Wheat,4
Andhra Pradesh,CHITTOOR,other oilseeds,7
Andhra Pradesh,EAST GODAVARI,Arecanut,17
Andhra Pradesh,EAST GODAVARI,Arhar/Tur,31
Andhra Pradesh,EAST GODAVARI,Bajra,27
Andhra Pradesh,EAST GODAVARI,Banana,18
Andhra Pradesh,EAST GODAVARI,Black pepper,1
Andhra Pradesh,EAST GODAVARI,Cashewnut,19
Andhra Pradesh,EAST GODAVARI,Castor seed,13
Andhra Pradesh,EAST GODAVARI,Coconut,19
Andhra Pradesh,EAST GODAVARI,Coriander,13
Andhra Pradesh,EAST GODAVARI,Cotton(lint),23
Andhra Pradesh,EAST GODAVARI,Cowpea(Lobia),15
Andhra Pradesh,EAST GODAVARI,Dry chillies,43
Andhra Pradesh,EAST GODAVARI,Ginger,5
Andhra Pradesh,EAST GODAVARI,Gram,20
Andhra Pradesh,EAST GODAVARI,Groundnut,41
Andhra Pradesh,EAST GODAVARI,Horse-gram,34
Andhra Pradesh,EAST GODAVARI,Jowar,39
Andhra Pradesh,EAST GODAVARI,Linseed,1
Andhra Pradesh,EAST GODAVARI,Maize,46
Andhra Pradesh,EAST GODAVARI,Masoor,1
Andhra Pradesh,EAST GODAVARI,Mesta,11
Andhra Pradesh,EAST GODAVARI,Moong(Green Gram),43
Andhra Pradesh,EAST GODAVARI,Niger seed,10
Andhra Pradesh,EAST GODAVARI,Oilseeds total,9
Andhra Pradesh,EAST GODAVARI,Onion,36
Andhra Pradesh,EAST GODAVARI,Other  Rabi pulses,6
Andhra Pradesh,EAST GODAVARI,Other Kharif pulses,3
Andhra Pradesh,EAST GODAVARI,Ragi,36
Andhra Pradesh,EAST GODAVARI,Rapeseed &Mustard,1
Andhra Pradesh,EAST GODAVARI,Rice,46
Andhra Pradesh,EAST GODAVARI,Safflower,1
Andhra Pradesh,EAST GODAVARI,Sesamum,42
Andhra Pradesh,EAST GODAVARI,Small millets,21
Andhra Pradesh,EAST GODAVARI,Soyabean,6
Andhra Pradesh,EAST GODAVARI,Sugarcane,23
Andhra Pradesh,EAST GODAVARI,Sunflower,22
Andhra Pradesh,EAST GODAVARI,Sweet potato,26
Andhra Pradesh,EAST GODAVARI,Tapioca,23
Andhra Pradesh,EAST GODAVARI,Tobacco,50
Andhra Pradesh,EAST GODAVARI,Urad,44
Andhra Pradesh,EAST GODAVARI,other oilseeds,8
Andhra Pradesh,GUNTUR,Arhar/Tur,41
Andhra Pradesh,GUNTUR,Bajra,32
Andhra Pradesh,GUNTUR,Banana,18
Andhra Pradesh,GUNTUR,Cashewnut,18
Andhra Pradesh,GUNTUR,Castor seed,30
Andhra Pradesh,GUNTUR,Coconut,19
Andhra Pradesh,GUNTUR,Coriander,9
Andhra Pradesh,GUNTUR,Cotton(lint),28
Andhra Pradesh,GUNTUR,Cowpea(Lobia),4
Andhra Pradesh,GUNTUR,Dry chillies,45
Andhra Pradesh,GUNTUR,Gram,24
Andhra Pradesh,GUNTUR,Groundnut,44
Andhra Pradesh,GUNTUR,Horse-gram,5
Andhra Pradesh,GUNTUR,Jowar,40
Andhra Pradesh,GUNTUR,Linseed,1
Andhra Pradesh,GUNTUR,Maize,46
Andhra Pradesh,GUNTUR,Masoor,2
Andhra Pradesh,GUNTUR,Mesta,3
Andhra Pradesh,GUNTUR,Moong(Green Gram),46
Andhra Pradesh,GUNTUR,Oilseeds total,9
Andhra Pradesh,GUNTUR,Onion,35
Andhra Pradesh,GUNTUR,Potato,1
Andhra Pradesh,GUNTUR,Ragi,15
Andhra Pradesh,GUNTUR,Rapeseed &Mustard,20
Andhra Pradesh,GUNTUR,Rice,46
Andhra Pradesh,GUNTUR,Safflower,1
Andhra Pradesh,GUNTUR,Sesamum,44
Andhra Pradesh,GUNTUR,Small millets,13
Andhra Pradesh,GUNTUR,Soyabean,16
Andhra Pradesh,GUNTUR,Sugarcane,22
Andhra Pradesh,GUNTUR,Sunflower,17
Andhra Pradesh,GUNTUR,Sweet potato,17
Andhra Pradesh,GUNTUR,Tapioca,1
Andhra Pradesh,GUNTUR,Tobacco,44
Andhra Pradesh,GUNTUR,Urad,46
Andhra Pradesh,GUNTUR,Wheat,1
Andhra Pradesh,GUNTUR,other oilseeds,8
Andhra Pradesh,HYDERABAD,Dry chillies,1
Andhra Pradesh,HYDERABAD,Rice,7
Andhra Pradesh,KADAPA,Arhar/Tur,38
Andhra Pradesh,KADAPA,Bajra,45
Andhra Pradesh,KADAPA,Banana,18
Andhra Pradesh,KADAPA,Cashewnut,16
Andhra Pradesh,KADAPA,Castor seed,30
Andhra Pradesh,KADAPA,Coconut,19
Andhra Pradesh,KADAPA,Coriander,19
Andhra Pradesh,KADAPA,Cotton(lint),30
Andhra Pradesh,KADAPA,Cowpea(Lobia),17
Andhra Pradesh,KADAPA,Dry chillies,43
Andhra Pradesh,KADAPA,Garlic,1
Andhra Pradesh,KADAPA,Ginger,4
Andhra Pradesh,KADAPA,Gram,27
Andhra Pradesh,KADAPA,Groundnut,46
Andhra Pradesh,KADAPA,Horse-gram,42
Andhra Pradesh,KADAPA,Jowar,46
Andhra Pradesh,KADAPA,Linseed,9
Andhra Pradesh,KADAPA,Maize,41
Andhra Pradesh,KADAPA,Masoor,2
Andhra Pradesh,KADAPA,Mesta,1
Andhra Pradesh,KADAPA,Moong(Green Gram),38
Andhra Pradesh,KADAPA,Oilseeds total,9
Andhra Pradesh,KADAPA,Onion,40
Andhra Pradesh,KADAPA,Other  Rabi pulses,9
Andhra Pradesh,KADAPA,Other Kharif pulses,15
Andhra Pradesh,KADAPA,Potato,5
Andhra Pradesh,KADAPA,Ragi,41
Andhra Pradesh,KADAPA,Rapeseed &Mustard,4
Andhra Pradesh,KADAPA,Rice,46
Andhra Pradesh,KADAPA,Safflower,10
Andhra Pradesh,KADAPA,Sesamum,43
Andhra Pradesh,KADAPA,Small millets,35
Andhra Pradesh,KADAPA,Soyabean,13
Andhra Pradesh,KADAPA,Sugarcane,22
Andhra Pradesh,KADAPA,Sunflower,34
Andhra Pradesh,KADAPA,Sweet potato,26
Andhra Pradesh,KADAPA,Tobacco,46
Andhra Pradesh,KADAPA,Urad,40
Andhra Pradesh,KADAPA,Wheat,16
Andhra Pradesh,KADAPA,other oilseeds,6
Andhra Pradesh,KARIMNAGAR,Arhar/Tur,24
Andhra Pradesh,KARIMNAGAR,Bajra,14
Andhra Pradesh,KARIMNAGAR,Banana,4
Andhra Pradesh,KARIMNAGAR,Castor seed,15
Andhra Pradesh,KARIMNAGAR,Coriander,11
Andhra Pradesh,KARIMNAGAR,Cotton(lint),16
Andhra Pradesh,KARIMNAGAR,Cowpea(Lobia),3
Andhra Pradesh,KARIMNAGAR,Dry chillies,26
Andhra Pradesh,KARIMNAGAR,Garlic,3
Andhra Pradesh,KARIMNAGAR,Ginger,6
Andhra Pradesh,KARIMNAGAR,Gram,17
Andhra Pradesh,KARIMNAGAR,Groundnut,30
Andhra Pradesh,KARIMNAGAR,Horse-gram,14
Andhra Pradesh,KARIMNAGAR,Jowar,24
Andhra Pradesh,KARIMNAGAR,Maize,32
Andhra Pradesh,KARIMNAGAR,Masoor,2
Andhra Pradesh,KARIMNAGAR,Moong(Green Gram),30
Andhra Pradesh,KARIMNAGAR,Onion,24
Andhra Pradesh,KARIMNAGAR,Other  Rabi pulses,8
Andhra Pradesh,KARIMNAGAR,Other Kharif pulses,14
Andhra Pradesh,KARIMNAGAR,Rapeseed &Mustard,2
Andhra Pradesh,KARIMNAGAR,Rice,32
Andhra Pradesh,KARIMNAGAR,Safflower,4
Andhra Pradesh,KARIMNAGAR,Sesamum,28
Andhra Pradesh,KARIMNAGAR,Soyabean,6
Andhra Pradesh,KARIMNAGAR,Sugarcane,16
Andhra Pradesh,KARIMNAGAR,Sunflower,16
Andhra Pradesh,KARIMNAGAR,Sweet potato,6
Andhra Pradesh,KARIMNAGAR,Tobacco,25
Andhra Pradesh,KARIMNAGAR,Urad,20
Andhra Pradesh,KARIMNAGAR,Wheat,14
Andhra Pradesh,KHAMMAM,Arhar/Tur,27
Andhra Pradesh,KHAMMAM,Bajra,21
Andhra Pradesh,KHAMMAM,Banana,10
Andhra Pradesh,KHAMMAM,Cashewnut,11
Andhra Pradesh,KHAMMAM,Castor seed,8
Andhra Pradesh,KHAMMAM,Coconut,11
Andhra Pradesh,KHAMMAM,Coriander,4
Andhra Pradesh,KHAMMAM,Cotton(lint),16
Andhra Pradesh,KHAMMAM,Cowpea(Lobia),2
Andhra Pradesh,KHAMMAM,Dry chillies,31
Andhra Pradesh,KHAMMAM,Gram,13
Andhra Pradesh,KHAMMAM,Groundnut,30
Andhra Pradesh,KHAMMAM,Horse-gram,15
Andhra Pradesh,KHAMMAM,Jowar,30
Andhra Pradesh,KHAMMAM,Maize,32
Andhra Pradesh,KHAMMAM,Masoor,2
Andhra Pradesh,KHAMMAM,Mesta,3
Andhra Pradesh,KHAMMAM,Moong(Green Gram),32
Andhra Pradesh,KHAMMAM,Onion,10
Andhra Pradesh,KHAMMAM,Other  Rabi pulses,6
Andhra Pradesh,KHAMMAM,Other Kharif pulses,4
Andhra Pradesh,KHAMMAM,Ragi,13
Andhra Pradesh,KHAMMAM,Rapeseed &Mustard,1
Andhra Pradesh,KHAMMAM,Rice,32
Andhra Pradesh,KHAMMAM,Safflower,1
Andhra Pradesh,KHAMMAM,Sesamum,31
Andhra Pradesh,KHAMMAM,Small millets,7
Andhra Pradesh,KHAMMAM,Soyabean,2
Andhra Pradesh,KHAMMAM,Sugarcane,16
Andhra Pradesh,KHAMMAM,Sunflower,15
Andhra Pradesh,KHAMMAM,Sweet potato,10
Andhra Pradesh,KHAMMAM,Tapioca,1
Andhra Pradesh,KHAMMAM,Tobacco,27
Andhra Pradesh,KHAMMAM,Urad,30
Andhra Pradesh,KHAMMAM,other oilseeds,2
Andhra Pradesh,KRISHNA,Arecanut,5
Andhra Pradesh,KRISHNA,Arhar/Tur,33
Andhra Pradesh,KRISHNA,Bajra,4
Andhra Pradesh,KRISHNA,Banana,18
Andhra Pradesh,KRISHNA,Cashewnut,19
Andhra Pradesh,KRISHNA,Castor seed,4
Andhra Pradesh,KRISHNA,Coconut,19
Andhra Pradesh,KRISHNA,Coriander,6
Andhra Pradesh,KRISHNA,Cotton(lint),23
Andhra Pradesh,KRISHNA,Cowpea(Lobia),2
Andhra Pradesh,KRISHNA,Dry chillies,45
Andhra Pradesh,KRISHNA,Ginger,17
Andhra Pradesh,KRISHNA,Gram,23
Andhra Pradesh,KRISHNA,Groundnut,46
Andhra Pradesh,KRISHNA,Horse-gram,22
Andhra Pradesh,KRISHNA,Jowar,35
Andhra Pradesh,KRISHNA,Linseed,2
Andhra Pradesh,KRISHNA,Maize,46
Andhra Pradesh,KRISHNA,Masoor,1
Andhra Pradesh,KRISHNA,Mesta,1
Andhra Pradesh,KRISHNA,Moong(Green Gram),46
Andhra Pradesh,KRISHNA,Oilseeds total,9
Andhra Pradesh,KRISHNA,Onion,26
Andhra Pradesh,KRISHNA,Other  Rabi pulses,3
Andhra Pradesh,KRISHNA,Other Kharif pulses,1
Andhra Pradesh,KRISHNA,Ragi,2
Andhra Pradesh,KRISHNA,Rapeseed &Mustard,17
Andhra Pradesh,KRISHNA,Rice,46
Andhra Pradesh,KRISHNA,Safflower,1
Andhra Pradesh,KRISHNA,Sesamum,41
Andhra Pradesh,KRISHNA,Soyabean,1
Andhra Pradesh,KRISHNA,Sugarcane,23
Andhra Pradesh,KRISHNA,Sunflower,21
Andhra Pradesh,KRISHNA,Sweet potato,21
Andhra Pradesh,KRISHNA,Tapioca,3
Andhra Pradesh,KRISHNA,Tobacco,42
Andhra Pradesh,KRISHNA,Urad,46
Andhra Pradesh,KRISHNA,other oilseeds,8
Andhra Pradesh,KURNOOL,Arhar/Tur,41
Andhra Pradesh,KURNOOL,Bajra,44
Andhra Pradesh,KURNOOL,Banana,18
Andhra Pradesh,KURNOOL,Castor seed,29
Andhra Pradesh,KURNOOL,Coconut,14
Andhra Pradesh,KURNOOL,Coriander,21
Andhra Pradesh,KURNOOL,Cotton(lint),26
Andhra Pradesh,KURNOOL,Cowpea(Lobia),8
Andhra Pradesh,KURNOOL,Dry chillies,45
Andhra Pradesh,KURNOOL,Ginger,4
Andhra Pradesh,KURNOOL,Gram,24
Andhra Pradesh,KURNOOL,Groundnut,46
Andhra Pradesh,KURNOOL,Horse-gram,31
Andhra Pradesh,KURNOOL,Jowar,46
Andhra Pradesh,KURNOOL,Linseed,6
Andhra Pradesh,KURNOOL,Maize,46
Andhra Pradesh,KURNOOL,Masoor,2
Andhra Pradesh,KURNOOL,Mesta,10
Andhra Pradesh,KURNOOL,Moong(Green Gram),45
Andhra Pradesh,KURNOOL,Niger seed,1
Andhra Pradesh,KURNOOL,Oilseeds total,9
Andhra Pradesh,KURNOOL,Onion,41
Andhra Pradesh,KURNOOL,Other  Rabi pulses,6
Andhra Pradesh,KURNOOL,Other Kharif pulses,6
Andhra Pradesh,KURNOOL,Potato,12
Andhra Pradesh,KURNOOL,Ragi,12
Andhra Pradesh,KURNOOL,Rapeseed &Mustard,21
Andhra Pradesh,KURNOOL,Rice,46
Andhra Pradesh,KURNOOL,Safflower,22
Andhra Pradesh,KURNOOL,Sesamum,38
Andhra Pradesh,KURNOOL,Small millets,38
Andhra Pradesh,KURNOOL,Soyabean,17
Andhra Pradesh,KURNOOL,Sugarcane,23
Andhra Pradesh,KURNOOL,Sunflower,34
Andhra Pradesh,KURNOOL,Sweet potato,13
Andhra Pradesh,KURNOOL,Tobacco,51
Andhra Pradesh,KURNOOL,Urad,46
Andhra Pradesh,KURNOOL,Wheat,21
Andhra Pradesh,KURNOOL,other oilseeds,1
Andhra Pradesh,MAHBUBNAGAR,Arhar/Tur,19
Andhra Pradesh,MAHBUBNAGAR,Bajra,24
Andhra Pradesh,MAHBUBNAGAR,Banana,1
Andhra Pradesh,MAHBUBNAGAR,Cashewnut,6
Andhra Pradesh,MAHBUBNAGAR,Castor seed,16
Andhra Pradesh,MAHBUBNAGAR,Coconut,11
Andhra Pradesh,MAHBUBNAGAR,Coriander,10
Andhra Pradesh,MAHBUBNAGAR,Cotton(lint),16
Andhra Pradesh,MAHBUBNAGAR,Cowpea(Lobia),2
Andhra Pradesh,MAHBUBNAGAR,Dry chillies,30
Andhra Pradesh,MAHBUBNAGAR,Gram,18
Andhra Pradesh,MAHBUBNAGAR,Groundnut,32
Andhra Pradesh,MAHBUBNAGAR,Horse-gram,29
Andhra Pradesh,MAHBUBNAGAR,Jowar,32
Andhra Pradesh,MAHBUBNAGAR,Maize,32
Andhra Pradesh,MAHBUBNAGAR,Masoor,1
Andhra Pradesh,MAHBUBNAGAR,Mesta,8
Andhra Pradesh,MAHBUBNAGAR,Moong(Green Gram),20
Andhra Pradesh,MAHBUBNAGAR,Onion,27
Andhra Pradesh,MAHBUBNAGAR,Other  Rabi pulses,6
Andhra Pradesh,MAHBUBNAGAR,Other Kharif pulses,8
Andhra Pradesh,MAHBUBNAGAR,Potato,2
Andhra Pradesh,MAHBUBNAGAR,Ragi,30
Andhra Pradesh,MAHBUBNAGAR,Rice,32
Andhra Pradesh,MAHBUBNAGAR,Safflower,12
Andhra Pradesh,MAHBUBNAGAR,Sesamum,17
Andhra Pradesh,MAHBUBNAGAR,Small millets,15
Andhra Pradesh,MAHBUBNAGAR,Soyabean,3
Andhra Pradesh,MAHBUBNAGAR,Sugarcane,11
Andhra Pradesh,MAHBUBNAGAR,Sunflower,20
Andhra Pradesh,MAHBUBNAGAR,Sweet potato,3
Andhra Pradesh,MAHBUBNAGAR,Tapioca,1
Andhra Pradesh,MAHBUBNAGAR,Tobacco,26
Andhra Pradesh,MAHBUBNAGAR,Urad,26
Andhra Pradesh,MAHBUBNAGAR,Wheat,14
Andhra Pradesh,MEDAK,Arhar/Tur,20
Andhra Pradesh,MEDAK,Bajra,17
Andhra Pradesh,MEDAK,Banana,11
Andhra Pradesh,MEDAK,Cashewnut,7
Andhra Pradesh,MEDAK,Castor seed,16
Andhra Pradesh,MEDAK,Coconut,6
Andhra Pradesh,MEDAK,Coriander,11
Andhra Pradesh,MEDAK,Cotton(lint),16
Andhra Pradesh,MEDAK,Cowpea(Lobia),3
Andhra Pradesh,MEDAK,Dry chillies,30
Andhra Pradesh,MEDAK,Garlic,3
Andhra Pradesh,MEDAK,Ginger,11
Andhra Pradesh,MEDAK,Gram,16
Andhra Pradesh,MEDAK,Groundnut,30
Andhra Pradesh,MEDAK,Horse-gram,22
Andhra Pradesh,MEDAK,Jowar,32
Andhra Pradesh,MEDAK,Linseed,12
Andhra Pradesh,MEDAK,Maize,32
Andhra Pradesh,MEDAK,Masoor,2
Andhra Pradesh,MEDAK,Mesta,6
Andhra Pradesh,MEDAK,Moong(Green Gram),27
Andhra Pradesh,MEDAK,Niger seed,4
Andhra Pradesh,MEDAK,Onion,26
Andhra Pradesh,MEDAK,Other  Rabi pulses,13
Andhra Pradesh,MEDAK,Other Kharif pulses,11
Andhra Pradesh,MEDAK,Potato,11
Andhra Pradesh,MEDAK,Ragi,13
Andhra Pradesh,MEDAK,Rapeseed &Mustard,8
Andhra Pradesh,MEDAK,Rice,32
Andhra Pradesh,MEDAK,Safflower,12
